20200702_2_xls-data.xlsx;02.07.2020: Corona-Konjunkturpaket (Entschließungsantrag 19/20739)
20200702_1_xls-data.xlsx;02.07.2020: Corona-Konjunkturpaket (Beschlussempfehlung 19/20716)
20200619_1_xls-data.xlsx;19.06.2020: Antiextremistischer Grundkonsens in Politik und Gesellschaft - Rechtsstaat und Demokratie schützen - Antifa ächten
20200618_2_xls-data.xlsx;18.06.2020: Europäische Arbeitnehmerentsendung
20200617_2_xls-data.xlsx;17.06.2020: Bundeswehreinsatz Libanon (UNIFIL) (Beschlussempfehlung)
20200617_1_xls-data.xlsx;17.06.2020: Bundeswehr im Kosovo (KFOR) (Beschlussempfehlung)
20200529_1_xls-data.xlsx;29.05.2020: Beschlussempfehlung zur Fortsetzung des Bundeswehreinsatzes EUTM Mali
20200529_2_xls-data.xlsx;29.05.2020: Beschlussempfehlung zur Fortsetzung des Bundeswehreinsatzes in Mali (MINUSMA)
20200527_1_xls-data.xlsx;27.05.2020: Beschlussempfehlung zu Operation ATALANTA
20200514_4_xls-data.xlsx;14.05.2020: Bereitstellung des ESM-Instruments ECCL Pandemic Crisis Support (PCSI)
20200514_3_xls-data.xlsx;14.05.2020: Zweites Gesetz zum Schutz der Bevölkerung bei einer epidemischen Lage von nationaler Tragweite
20200514_2_xls-data.xlsx;14.05.2020: Beschlussempfehlung 19/19204 zu Corona-Aufschlag in der Grundsicherung das Existenzminimum sichern
20200514_1_xls-data.xlsx;14.05.2020: Änderungsantrag 19/19221 zu Zweites Gesetz zum Schutz der Bevölkerung bei einer epidemischen Lage von nationaler Tragweite
20200507_1_xls-data.xlsx;07.05.2020: Beschlussempfehlung zum Bundeswehreinsatz EUNAVFOR MED IRINI
20200325_1_xls-data.xlsx;25.03.2020: Beschlussempfehlung zu Beschluss gemäß Artikel 115 Absatz 2 Satz 6 und 7 GG
20200313_1_xls-data.xlsx;13.03.2020: Beschlussempfehlung zum Bundeswehreinsatz in Afghanistan
20200313_2_xls-data.xlsx;13.03.2020: Beschlussempfehlung zum Bundeswehreinsatz SEA GUARDIAN
20200304_1_xls-data.xlsx;04.03.2020: Beschlussempfehlung zu Humanitäres Aufnahmeprogramm für besonders schutzbedürftige Asylsuchende aus Griechenland
